1. Start operacji administracyjnej: test połączenia (2018-04-20 19:50:07,610)
2. Niepoprawne wywołanie następnej akcji dopóki poprzednie się nie skończyło (2018-04-20 19:50:07,828)
3. Odpowiedź 280B pinpada, że jest zajęty: 255 (2018-04-20 19:50:07,891)
4. Odpowiedź 280A z wynikiem operacji (2018-04-20 19:50:09,047)

2018-04-20 19:50:07,610 <-- frame [STX]280a[FS]SA[FS]O[FS][ETX][0x19]
2018-04-20 19:50:07,672 ..... --> [ACK]
2018-04-20 19:50:07,828 <-- frame [STX]280b[FS]SA[FS]O[FS][ETX][0x1a]
2018-04-20 19:50:07,891 ..... --> [ACK]
2018-04-20 19:50:07,891 frame --> [STX]280B[FS]SB[FS]255[FS][ETX]D
2018-04-20 19:50:07,891 ..... <-- [ACK]
2018-04-20 19:50:08,219 frame --> [STX]D0BE4E[FS]C1[FS]4[FS]6e[FS]10[FS][FS][FS][FS]192.168.70.13[FS]4443[FS][ETX]<
2018-04-20 19:50:08,219 ..... <-- [ACK]
2018-04-20 19:50:08,219 <-- frame [STX]D0BE4E[FS]C2[FS]6e[FS]0[FS][ETX][0x13]
2018-04-20 19:50:08,328 ..... --> [ACK]
2018-04-20 19:50:08,422 frame --> [STX]D0BE4F[FS]C1[FS]3[FS]6e[FS]10[FS]5[FS]8192[FS]FgMDAPMBAADvAwPehML6nyaOpmWT77WGjZRFkIF8ujdpRE+hAcfsrAr30yA05pujE/FN7X6sqclgfBeJaLvEYtjQFQoxzUv6zoeckgBiwCzAMACfwK3An8AkwCgAa8AKwBQAOcCvwKPAK8AvAJ7ArMCewCPAJwBnwAnAEwAzwK7AogCdwJ0APQA1wDLAKsAPwC7AJsAFwKEAnMCcADwAL8AxwCnADsAtwCXABMCgAP8BAABEAA0AEgAQBgMGAQUDBQEEAwQBAwMDAQAKABgAFgAZABwAGAAbABcAFgAaABUAFAATABIACwACAQAAFgAAABcAAAAjAAA=[FS][ETX]+
2018-04-20 19:50:08,422 ..... <-- [ACK]
2018-04-20 19:50:08,422 <-- frame [STX]D0BE4F[FS]C2[FS]6e[FS]0[FS]FgMDAFkCAABVAwMeYu0CVZm/rWerGlfSm/BRN4ECslgugtJd9EIfe53rmyA05pujE/FN7X6sqclgfBeJaLvEYtjQFQoxzUv6zoecksAwAAAN/wEAAQAACwAEAwABAhQDAwABARYDAwAo2mxtaN5G/BuJ7Wn4sA05swrDbq9O0MlEb7VzWfFq3dh4KTh07WOW8A==[FS][ETX]f
2018-04-20 19:50:08,500 ..... --> [ACK]
2018-04-20 19:50:08,704 frame --> [STX]D0BE50[FS]C1[FS]3[FS]6e[FS]10[FS]5[FS]8192[FS]FAMDAAEBFgMDACgAAAAAAAAAAIeBBhMYhkkf0g/yooIebqqIisLBIGuv4xcOMSCMIOThFwMDAL8AAAAAAAAAAbvB0pSOrfbOyWVnI+zQT5kNKPzzSWcgCJ9bPvl2VzQQN6adC/YHPDVNpiudvgp05ufRdx7DsOegVDGbDomNxxoNwGtSP4UGsxllLXEjEQKKc1TyLCIyZNDPGn/aKUoLquy+il1D8DHNdpZj1pZb2tbJ0RAMEKZ6azqmdZopvnM9JARTeKrW77/EoMJBuhiUuVYqwJ/DIW57fBVKvrea5U7YhkZLtGRevvT4uvAWZLh6h8K8IBAdww==[FS][ETX][0xe]
2018-04-20 19:50:08,704 ..... <-- [ACK]
2018-04-20 19:50:08,750 <-- frame [STX]D0BE50[FS]C2[FS]6e[FS]0[FS]FwMDAGLabG1o3kb8HPnrrWSTN2bhnjeWkpTE87YZqA+CBJX5HDE2L1SuJOlONjn4YgDrsZ4EpYHvZqbVlgG+SmgRg0TT+XU1iHhl1zypYutcav1YCkK70mCgpWyDfqzoVWjSEq3RRw==[FS][ETX][0x1e]
2018-04-20 19:50:08,829 ..... --> [ACK]
2018-04-20 19:50:08,954 frame --> [STX]D0BE51[FS]C1[FS]8[FS]6e[FS]0[FS][ETX]A
2018-04-20 19:50:08,954 ..... <-- [ACK]
2018-04-20 19:50:08,954 <-- frame [STX]D0BE51[FS]C2[FS]6e[FS]0[FS][ETX]f
2018-04-20 19:50:09,032 ..... --> [ACK]
2018-04-20 19:50:09,047 frame --> [STX]280A[FS]SB[FS]0[FS][ETX]E
2018-04-20 19:50:09,047 ..... <-- [ACK]
